"photographer","label","worklabels","birth"
"http://www.wikidata.org/entity/Q110373","Wilhelm Castelli","Lübeck","1901-12-17T00:00:00Z"
"http://www.wikidata.org/entity/Q215618","Grete Stern","Buenos Aires, Great Britain","1904-05-09T00:00:00Z"
"http://www.wikidata.org/entity/Q64212","Giorgio Sommer","Naples","1834-09-02T00:00:00Z"
"http://www.wikidata.org/entity/Q155158","Kurt Schwitters","Lake District, Lysaker, Hjertøya","1887-06-20T00:00:00Z"
"http://www.wikidata.org/entity/Q61992274","Carlo Marcozzi","Milan","1827-02-11T00:00:00Z"
"http://www.wikidata.org/entity/Q67294703","Mario Perotti","Milan","1909-10-10T00:00:00Z"
"http://www.wikidata.org/entity/Q106936993","Pietro Fiorentini","Modena, Venice, Padua, Bologna","1873-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q107100391","Murray Kendall Keyes","New York City","1870-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q3750053","Francesco Giordani","Rome, Vatican City","1908-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q946185","Tomaso Filippi","Venice","1852-03-26T00:00:00Z"
"http://www.wikidata.org/entity/Q647812","Franz Hanfstaengl","Munich, Dresden","1804-03-01T00:00:00Z"
"http://www.wikidata.org/entity/Q346323","Emery Walker","London","1851-04-02T00:00:00Z"
"http://www.wikidata.org/entity/Q378129","Félicien Rops","Paris","1833-07-07T00:00:00Z"
"http://www.wikidata.org/entity/Q106650664","Sydney W. Newbery","London","1894-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q65938951","David H. Anderson","New York City, Richmond","1827-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q62572993","Gabriel Moulin","San Francisco","1872-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q106652385","Mario Sansoni","Bologna, Assisi","1882-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q107030756","Vittorio Villani","Bologna","1905-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q3831697","Libero Tosi","Stresa, Parma","1902-07-24T00:00:00Z"
"http://www.wikidata.org/entity/Q75379946","A.J. Dingjan","Suriname, The Hague","1927-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q106650408","Dino Zani","Milan","1891-12-18T00:00:00Z"
"http://www.wikidata.org/entity/Q789672","Rudolf Balogh","Budapest","1879-09-01T00:00:00Z"
"http://www.wikidata.org/entity/Q18811896","Pasquale De Antonis","Rome, Bologna","1908-04-04T00:00:00Z"
"http://www.wikidata.org/entity/Q18934975","Giuseppe Alinari","Rome, Milan, Naples, Florence","1836-04-29T00:00:00Z"
"http://www.wikidata.org/entity/Q1445526","Martin Gerlach","Vienna","1879-04-02T00:00:00Z"
"http://www.wikidata.org/entity/Q107097566","Ferdinando Barsotti","Florence","1872-01-01T00:00:00Z"
