label,birth,worklabels
Giorgio Sommer,1834-09-02T00:00:00Z,Naples
Wilhelm Castelli,1901-12-17T00:00:00Z,Lübeck
Emery Walker,1851-04-02T00:00:00Z,London
Charles-François Daubigny,1817-02-15T00:00:00Z,"London,Paris"
Gabriel Moulin,1872-01-01T00:00:00Z,San Francisco
Achille Ferrario,1848-01-01T00:00:00Z,Milan
Gianni Mari,1926-01-01T00:00:00Z,Milan
Gigi Bassani,1894-01-01T00:00:00Z,Milan
Giovanni Battista Brusa,1830-01-01T00:00:00Z,"Milan,Venice"
Dino Zani,1891-12-18T00:00:00Z,Milan
Gian Battista Colombo,1921-01-01T00:00:00Z,Milan
Carlo Marcozzi,1827-02-11T00:00:00Z,Milan
Franz von Lenbach,1836-12-13T00:00:00Z,Munich
Franz Hanfstaengl,1804-03-01T00:00:00Z,"Munich,Dresden"
Hans Schiff,1907-11-07T00:00:00Z,New York City
William Edward Gray,1864-01-01T00:00:00Z,London
Sydney W. Newbery,1894-01-01T00:00:00Z,London
Gad Borel,1942-02-14T00:00:00Z,Geneva
Vivian Maier,1926-02-01T00:00:00Z,North Shore
Grete Stern,1904-05-09T00:00:00Z,"Buenos Aires,Great Britain"
Paolo Salviati,1818-05-23T00:00:00Z,Venice
Francesco Giordani,1908-01-01T00:00:00Z,"Rome,Vatican City"
P. Steensma,1879-07-18T00:00:00Z,Amsterdam
Kurt Schwitters,1887-06-20T00:00:00Z,"Lake District,Lysaker,Hjertøya"
Carlo Naya,1816-08-25T00:00:00Z,Venice
Pietro Fiorentini,1873-01-01T00:00:00Z,"Modena,Venice,Padua,Bologna"
Mario Perotti,1909-10-10T00:00:00Z,Milan
Luigi Dubray,1842-07-05T00:00:00Z,Milan
Mario Crimella,1893-01-01T00:00:00Z,Milan
Elio Ciol,1929-03-03T00:00:00Z,"Milan,Friuli-Venezia Giulia,Venice,Assisi,Palestine"
Emilio Sommariva,1883-12-08T00:00:00Z,Milan
Adolphe Braun,1812-06-13T00:00:00Z,"Paris,France,Papal States,Rome"
Félicien Rops,1833-07-07T00:00:00Z,Paris
Julius Scherb,1881-01-17T00:00:00Z,Vienna
Viktor Angerer,1839-10-03T00:00:00Z,Vienna
A.J. Dingjan,1927-01-01T00:00:00Z,"Suriname,The Hague"
Giuseppe Incorpora,1834-09-18T00:00:00Z,Palermo
Oscar Savio,1912-01-01T00:00:00Z,Rome
Harold Corsini,1919-08-28T00:00:00Z,"New York City,Pittsburgh"
Adam Frequin,1883-03-11T00:00:00Z,The Hague
Johann Mutter,1902-01-01T00:00:00Z,Landsberg
Tomaso Filippi,1852-03-26T00:00:00Z,Venice
Mario Sansoni,1882-01-01T00:00:00Z,"Bologna,Assisi"
Romualdo Alinari,1830-01-01T00:00:00Z,"Florence,Naples,Rome,Milan"
Ivo Bazzechi,1920-01-01T00:00:00Z,Florence
Paul Robert,1866-05-03T00:00:00Z,Paris
Martin Gerlach,1879-04-02T00:00:00Z,Vienna
Henry Vincent Kneuer,1953-09-28T00:00:00Z,"Munich,Granada"
Ferdinando Lembo,1879-01-01T00:00:00Z,Naples
Joseph Janney Steinmetz,1905-01-01T00:00:00Z,"Philadelphia,Florida"
Paolo Lombardi,1827-01-01T00:00:00Z,Siena
Soichi Sunami,1885-02-18T00:00:00Z,"New York City,Seattle"
Vittorio Ecclesia,1847-02-11T00:00:00Z,"Aosta Valley,Turin"
Ladislav Neubert,1927-06-08T00:00:00Z,Prague
Giacomo Brogi,1822-04-06T00:00:00Z,Florence
Henri Manuel,1874-04-24T00:00:00Z,Paris
Jacques Ernest Bulloz,1858-04-20T00:00:00Z,Paris
Luigi Vaghi,1882-09-01T00:00:00Z,"Turin,Rome,Parma,Asmara"
Domenico Anderson,1854-01-01T00:00:00Z,"Rome,Venice"
Anders Engman,1933-09-21T00:00:00Z,Stockholm
Rudolf Balogh,1879-09-01T00:00:00Z,Budapest
Jules Sylvestre,1859-10-12T00:00:00Z,Lyon
Francesco Negri,1841-12-18T00:00:00Z,Casale Monferrato
Giuseppe Alinari,1836-04-29T00:00:00Z,"Milan,Rome,Florence,Naples"
Bernard F. Eilers,1878-04-24T00:00:00Z,Amsterdam
Jessie Tarbox Beals,1870-12-23T00:00:00Z,"New York City,Massachusetts"
James Anderson,1813-03-11T00:00:00Z,Rome
Romualdo Moscioni,1849-03-17T00:00:00Z,Rome
Libero Tosi,1902-07-24T00:00:00Z,"Parma,Stresa"
Peter Elfelt,1866-01-01T00:00:00Z,Copenhagen
Pasquale De Antonis,1908-04-04T00:00:00Z,"Rome,Bologna"
Leopoldo Alinari,1832-01-01T00:00:00Z,"Rome,Florence,Naples"
Josef Ehm,1909-08-01T00:00:00Z,Prague
Mortimer Offner,1900-11-03T00:00:00Z,"New York City,Hollywood"
Paolo Monti,1908-08-11T00:00:00Z,"Milan,Venice"
Amerigo Lunghi,1884-11-28T00:00:00Z,"Argentina,Perugia"
Guglielmo Chiolini,1900-07-10T00:00:00Z,"Pavia,Ticino"
Marjan Smerke,1932-01-01T00:00:00Z,Ljubljana
Mario Castagneri,1892-01-01T00:00:00Z,Milan
Otto Schmidt,1849-01-01T00:00:00Z,Vienna
Véra Cardot,1920-07-24T00:00:00Z,Budapest
Attilio Brisighelli,1880-01-01T00:00:00Z,Udine
Ursula Edelmann,1926-03-30T00:00:00Z,"Berlin,Frankfurt am Main"
Ernst Schwitters,1918-11-16T00:00:00Z,"Oslo,Hanover"
Pietro Poppi,1833-04-29T00:00:00Z,Bologna
Mauro Arceci,1888-01-01T00:00:00Z,Urbino
