"photographer","contribution count"

"Anonimo","13355"

"Brogi, Giacomo","2213"

"ICCD: Fototeca Nazionale","1539"

"Fratelli Alinari","1532"

"Anderson, James","1192"

"Gabinetto Fotografico della Soprintendenza Speciale per il Patrimonio Storico, Artistico ed Etnoantropologico e per il Polo Museale della citt� di Firenze","929"

"A. Villani e Figli","512"

"A. C. Cooper","397"

"Fototeca della Soprintendenza speciale per il patrimonio storico, artistico ed etnoantropologico e per il Polo museale della citt� di Napoli","338"

"Sotheby's","284"

"National Gallery, London","221"

"Perotti, Mario","184"

"Bildarchiv Foto Marburg","178"

"Vasari, Cesare","171"

"Fiorentini","167"

"Christie's","166"

"National Gallery of Art, Washington","147"

"Fiorentini, Pietro","140"

"Sansoni, Mario","131"

"Arte Fotografica","129"

"Liverani, Giorgio","125"

"Boccardi, Cosimo","123"

"Prudence Cuming Associates","117"

"The Metropolitan Museum of Art","114"

"Franz Hanfstaengl","112"

"Hobbs, Sherley","111"

"Savio, Oscar","107"

"Bayerische Staatsgem�ldesammlungen Fotothek","105"

"Keyes, Murray Kendall","105"

"Bruckmann Verlag","99"

"Bulloz, Jacques-Ernest","95"

"Compagnia Rotografica","88"

"Bassani, Gigi","84"

"L�wy, Josef","80"

"Bob Jones University Museum and Gallery Photographic Studios","78"

"Fondazione Giorgio Cini","78"

"Photo Studios Limited","78"

"Archivo M�s","75"

"Moscioni, Romualdo","75"

"Rigamonti, F.","73"

"Cipriani, Nicol�","72"

"Fototeca della Soprintendenza per i beni storici, artistici ed etnoantropologici per le province di Milano, Bergamo, Como, Pavia, Sondrio, Lecco, Lodi e Varese","71"

"National Gallery of Ireland","71"

"Frick Art Reference Library","70"

"The Walters Art Museum","69"

"Naya, Carlo","68"

"Rampazzi, Giustino","67"

"Schiff, John D.","67"

"Quaresima, Mario","63"

"Istituto Italiano d'Arti Grafiche","61"

"Marcozzi, Carlo","61"

"Carletti, Angelo","60"

"Courtauld Institute of Art","58"

"Mus�e des Beaux-Arts de Dijon","57"

"Vaghi, Luigi","57"

"Croci, Felice","54"

"Philadelphia Museum of Art","54"

"Bullaty Lomeo Photographers","53"

"Accademia Carrara","52"

"Fotocommissie Rijksmuseum Amsterdam","51"

"Lombardi, Paolo","51"

"Tilli","47"

"Brogiolo, Mario","46"

"Gabinetto Fotografico della Soprintendenza per i beni storici, artistici ed etnoantropologici delle Marche","46"

"R. B. Fleming and Co.","46"

"Foto Reali","42"

"Salviati, Paolo","42"

"Gasparini","41"

"Mus�e des Beaux-Arts de Chamb�ry","41"

"Zani, Dino","41"

"Harvard University Art Museums, Fogg Art Museum","40"

"Rossi, Paolo","40"

"Gabinetto Fotografico della Soprintendenza per i beni storici, artistici ed etnoantropologici dell'Umbria","39"

"Museum of Fine Arts, Boston","37"

"Statens Museum for Kunst","37"

"Fotofast","36"

"Grassi, Cesare","36"

"Fototeka Narodne Galerije, Ljubljana","35"

"Mari, Gianni","35"

"Newbery, Sydney W.","35"

"Samuel H. Kress Collection","35"

"Detroit Institute of Arts","34"

"Gem�ldegalerie, Staatliche Museen zu Berlin","34"

"John and Mable Ringling Museum of Art","34"

